"Date","Season","Round","Venue","Player","Team","Opposition","Status","Match_id","GA","CP","UP","ED","DE","CM","MI5","One.Percenters","BO","TOG","K","HB","D","M","G","B","T","HO","I50","CL","CG","R50","FF","FA","AF","SC","CCL","SCL","SI","MG","TO","ITC","T5"
2023-03-16,2023,"Round 1","MCG","Tim Taranto","Richmond","Carlton","Home",10751,0,12,20,18,56.2,0,0,0,0,80,18,14,32,3,0,2,8,0,4,5,8,3,1,1,123,103,3,2,4,542,9,3,3
2023-03-16,2023,"Round 1","MCG","Daniel Rioli","Richmond","Carlton","Home",10751,1,6,17,25,92.6,1,0,1,3,84,17,10,27,7,0,0,4,0,5,0,2,5,0,0,108,126,0,0,5,681,5,7,0
2023-03-16,2023,"Round 1","MCG","Dustin Martin","Richmond","Carlton","Home",10751,1,10,13,13,56.5,2,0,1,1,82,15,8,23,6,1,0,0,0,8,1,5,1,0,3,76,84,0,1,5,432,7,1,0
2023-03-16,2023,"Round 1","MCG","Dion Prestia","Richmond","Carlton","Home",10751,0,13,11,17,73.9,0,1,1,0,81,10,13,23,4,0,1,1,0,2,5,3,1,1,1,71,72,1,4,3,316,4,5,0
2023-03-16,2023,"Round 1","MCG","Jack Graham","Richmond","Carlton","Home",10751,0,9,11,14,70,0,0,1,0,88,11,9,20,1,0,2,9,0,5,2,6,0,3,2,89,87,0,2,5,283,7,4,1
2023-03-16,2023,"Round 1","MCG","Trent Cotchin","Richmond","Carlton","Home",10751,0,11,7,12,66.7,0,0,2,0,67,9,9,18,3,0,0,3,0,3,4,5,3,0,3,57,69,0,4,3,263,5,3,0
2023-03-16,2023,"Round 1","MCG","Jacob Hopper","Richmond","Carlton","Home",10751,1,7,12,11,61.1,0,0,1,0,72,12,6,18,3,0,0,3,0,6,1,3,1,2,0,71,67,0,1,1,381,6,3,2
2023-03-16,2023,"Round 1","MCG","Shai Bolton","Richmond","Carlton","Home",10751,1,8,12,12,66.7,1,2,1,1,88,15,3,18,6,1,1,4,0,7,3,5,0,2,2,88,76,2,1,3,567,5,1,1
2023-03-16,2023,"Round 1","MCG","Kamdyn McIntosh","Richmond","Carlton","Home",10751,1,4,15,12,70.6,0,0,2,0,82,11,6,17,5,0,0,3,0,3,1,2,2,0,1,69,73,0,1,3,262,3,2,0
2023-03-16,2023,"Round 1","MCG","Jayden Short","Richmond","Carlton","Home",10751,1,3,13,13,76.5,0,0,0,1,77,15,2,17,6,0,0,3,0,4,1,0,4,0,0,79,79,0,1,4,479,5,1,0
2023-03-16,2023,"Round 1","MCG","Liam Baker","Richmond","Carlton","Home",10751,0,4,10,12,80,0,0,0,1,84,10,5,15,5,0,0,1,0,1,0,2,2,2,2,55,63,0,0,4,273,0,7,0
2023-03-16,2023,"Round 1","MCG","Toby Nankervis","Richmond","Carlton","Home",10751,0,11,2,5,35.7,0,0,5,0,84,8,6,14,1,0,0,11,37,1,5,5,1,2,2,116,112,0,5,3,170,2,3,2
2023-03-16,2023,"Round 1","MCG","Nathan Broad","Richmond","Carlton","Home",10751,0,2,11,11,84.6,1,0,3,0,90,11,2,13,7,0,0,3,0,2,1,2,2,0,0,70,66,0,1,1,209,3,3,1
2023-03-16,2023,"Round 1","MCG","Jack Riewoldt","Richmond","Carlton","Home",10751,0,10,3,10,83.3,4,1,2,0,95,9,3,12,6,1,0,5,1,4,1,3,0,1,1,76,89,0,1,2,197,3,3,4
2023-03-16,2023,"Round 1","MCG","Dylan Grimes","Richmond","Carlton","Home",10751,0,4,5,11,91.7,1,0,4,0,82,8,4,12,5,0,0,2,0,0,0,0,1,0,0,55,77,0,0,2,107,1,6,0
2023-03-16,2023,"Round 1","MCG","Nick Vlastuin","Richmond","Carlton","Home",10751,0,2,7,9,81.8,0,0,4,0,91,9,2,11,4,0,1,2,0,2,0,0,2,1,0,53,57,0,0,2,205,1,4,0
2023-03-16,2023,"Round 1","MCG","Maurice Rioli","Richmond","Carlton","Home",10751,0,4,9,8,72.7,0,0,1,1,74,7,4,11,2,2,0,3,0,2,1,3,0,1,1,57,59,0,1,4,208,3,1,2
2023-03-16,2023,"Round 1","MCG","Tom Lynch","Richmond","Carlton","Home",10751,0,9,3,6,60,4,5,5,0,89,9,1,10,6,3,3,0,1,1,2,3,0,0,2,63,93,0,2,6,176,2,0,0
2023-03-16,2023,"Round 1","MCG","Marlion Pickett  ↗","Richmond","Carlton","Home",10751,0,6,5,8,80,1,0,2,0,51,4,6,10,2,0,0,2,0,2,0,4,1,1,3,30,43,0,0,1,126,3,6,0
2023-03-16,2023,"Round 1","MCG","Ben Miller","Richmond","Carlton","Home",10751,0,5,5,8,88.9,0,1,4,0,80,5,4,9,4,0,0,1,5,1,3,1,1,1,0,45,71,0,3,4,84,1,3,0
2023-03-16,2023,"Round 1","MCG","Noah Balta","Richmond","Carlton","Home",10751,0,5,2,5,62.5,2,0,2,0,87,6,2,8,3,0,0,1,0,1,0,2,4,0,0,35,37,0,0,1,199,2,6,0
2023-03-16,2023,"Round 1","MCG","Rhyan Mansell","Richmond","Carlton","Home",10751,0,3,4,5,71.4,0,0,1,0,67,5,2,7,4,0,0,1,0,2,0,2,0,0,1,32,29,0,0,2,93,1,1,0
2023-03-16,2023,"Round 1","MCG","Jack Ross  ↙","Richmond","Carlton","Home",10751,0,1,2,3,75,0,1,1,0,25,4,0,4,2,0,0,0,0,0,0,1,1,1,0,19,17,0,0,0,65,1,2,0
2023-03-16,2023,"Round 1","MCG","George Hewett","Carlton","Richmond","Away",10751,0,14,13,20,71.4,0,0,0,0,71,10,18,28,5,0,0,4,0,2,8,3,3,2,0,99,89,5,3,3,122,2,2,0
2023-03-16,2023,"Round 1","MCG","Sam Docherty","Carlton","Richmond","Away",10751,0,2,18,19,76,0,0,0,0,84,23,2,25,8,1,0,2,0,2,1,3,6,2,1,110,108,0,1,6,553,5,5,0
2023-03-16,2023,"Round 1","MCG","Patrick Cripps","Carlton","Richmond","Away",10751,0,15,11,17,68,1,0,2,0,83,9,16,25,2,0,1,6,0,2,7,3,2,0,2,84,121,3,4,5,292,5,1,2
