"Date","Season","Round","Venue","Player","Team","Opposition","Status","Match_id","GA","CP","UP","ED","DE","CM","MI5","One.Percenters","BO","TOG","K","HB","D","M","G","B","T","HO","I50","CL","CG","R50","FF","FA","AF","SC","CCL","SCL","SI","MG","TO","ITC","T5"
2025-03-07,2025,"Round 0","SCG","Nick Blakey","Sydney","Hawthorn","Home",11188,0,6,9,21,80.8,0,0,6,4,87,21,5,26,3,1,0,0,0,1,0,4,13,2,0,90,122,0,0,3,804,4,8,0
2025-03-07,2025,"Round 0","SCG","Matthew Roberts","Sydney","Hawthorn","Home",11188,0,7,19,20,76.9,0,0,2,0,95,20,6,26,9,0,0,2,0,4,0,2,4,0,1,104,124,0,0,6,447,6,8,0
2025-03-07,2025,"Round 0","SCG","Isaac Heeney","Sydney","Hawthorn","Home",11188,0,14,5,15,71.4,0,0,1,0,82,9,12,21,1,0,0,7,0,2,10,1,3,1,1,80,105,6,4,6,166,2,1,2
2025-03-07,2025,"Round 0","SCG","Chad Warner","Sydney","Hawthorn","Home",11188,1,6,15,16,76.2,0,1,0,4,87,16,5,21,5,2,1,2,0,6,2,3,3,1,1,92,115,1,1,12,602,3,2,0
2025-03-07,2025,"Round 0","SCG","James Jordon","Sydney","Hawthorn","Home",11188,0,11,8,14,70,0,0,0,0,82,10,10,20,0,0,0,4,0,2,7,5,1,1,3,58,63,3,4,2,227,4,2,0
2025-03-07,2025,"Round 0","SCG","Jake Lloyd","Sydney","Hawthorn","Home",11188,0,4,14,12,63.2,0,0,3,0,87,11,8,19,3,0,0,4,0,1,1,4,6,2,0,76,65,0,1,3,271,4,4,0
2025-03-07,2025,"Round 0","SCG","Sam Wicks","Sydney","Hawthorn","Home",11188,0,6,10,12,66.7,0,0,3,0,90,13,5,18,3,0,0,4,0,1,0,2,3,3,1,74,82,0,0,4,319,3,9,0
2025-03-07,2025,"Round 0","SCG","Oliver Florent","Sydney","Hawthorn","Home",11188,0,3,12,10,62.5,0,0,5,1,77,9,7,16,3,0,2,2,0,1,0,5,1,2,2,56,50,0,0,4,338,4,3,0
2025-03-07,2025,"Round 0","SCG","James Rowbottom","Sydney","Hawthorn","Home",11188,0,4,11,12,75,0,0,0,0,80,13,3,16,2,1,0,2,0,4,3,2,0,0,0,65,87,1,2,5,250,3,2,1
2025-03-07,2025,"Round 0","SCG","Justin McInerney","Sydney","Hawthorn","Home",11188,2,8,9,13,81.2,2,0,0,0,87,11,5,16,6,0,1,2,0,2,1,4,0,1,4,59,79,0,1,6,192,2,0,1
2025-03-07,2025,"Round 0","SCG","Tom Papley","Sydney","Hawthorn","Home",11188,2,7,7,9,69.2,0,1,2,0,81,6,7,13,3,1,1,0,0,1,1,6,0,2,3,41,54,0,1,6,138,4,0,0
2025-03-07,2025,"Round 0","SCG","Ben Paton","Sydney","Hawthorn","Home",11188,0,5,6,11,91.7,0,0,3,0,73,4,8,12,2,0,0,1,0,0,0,1,1,0,1,35,67,0,0,2,140,0,6,0
2025-03-07,2025,"Round 0","SCG","Brodie Grundy","Sydney","Hawthorn","Home",11188,0,7,4,6,54.5,1,0,2,0,80,3,8,11,2,0,0,1,40,0,1,4,0,0,2,69,87,1,0,7,15,1,3,0
2025-03-07,2025,"Round 0","SCG","Dane Rampe","Sydney","Hawthorn","Home",11188,0,3,6,6,54.5,0,0,5,0,90,10,1,11,4,0,0,2,0,1,1,4,4,1,1,50,47,0,1,0,301,4,5,0
2025-03-07,2025,"Round 0","SCG","Lewis Melican","Sydney","Hawthorn","Home",11188,0,4,7,9,81.8,0,0,12,0,89,8,3,11,6,0,0,1,0,0,0,2,2,0,0,52,58,0,0,0,75,2,5,0
2025-03-07,2025,"Round 0","SCG","Joel Amartey","Sydney","Hawthorn","Home",11188,0,5,6,8,72.7,0,1,1,0,82,7,4,11,4,3,1,2,1,0,0,0,0,2,0,71,84,0,0,5,229,1,2,1
2025-03-07,2025,"Round 0","SCG","Corey Warner","Sydney","Hawthorn","Home",11188,0,5,5,8,80,0,0,0,0,71,3,7,10,1,0,0,4,0,1,3,0,2,0,0,42,50,0,3,3,154,1,1,1
2025-03-07,2025,"Round 0","SCG","Angus Sheldrick  ↗","Sydney","Hawthorn","Home",11188,0,3,6,6,66.7,0,0,0,0,48,6,3,9,1,0,0,2,0,4,1,3,0,0,1,32,32,0,1,1,224,4,1,1
2025-03-07,2025,"Round 0","SCG","Taylor Adams","Sydney","Hawthorn","Home",11188,1,3,6,6,75,0,1,0,0,54,4,4,8,3,1,0,0,0,2,1,3,0,0,1,32,36,0,1,2,106,4,0,0
2025-03-07,2025,"Round 0","SCG","Braeden Campbell","Sydney","Hawthorn","Home",11188,1,2,5,7,87.5,0,0,1,0,80,6,2,8,2,0,0,4,0,4,0,0,1,0,0,44,49,0,0,3,225,2,0,0
2025-03-07,2025,"Round 0","SCG","Tom McCartin","Sydney","Hawthorn","Home",11188,0,3,5,5,71.4,2,1,1,0,89,7,0,7,7,1,1,1,0,3,0,2,0,1,1,51,52,0,0,2,151,2,0,0
2025-03-07,2025,"Round 0","SCG","Tom Hanily  ↙","Sydney","Hawthorn","Home",11188,0,3,2,4,66.7,0,0,1,0,31,2,4,6,1,0,0,3,0,0,1,3,0,1,0,30,27,0,1,1,40,2,0,1
2025-03-07,2025,"Round 0","SCG","Will Hayward","Sydney","Hawthorn","Home",11188,0,2,3,4,80,0,0,1,0,79,4,1,5,0,1,0,4,0,0,0,0,0,1,0,37,51,0,0,2,83,0,0,2
2025-03-07,2025,"Round 0","SCG","Karl Amon","Hawthorn","Sydney","Away",11188,0,4,18,19,70.4,0,0,1,1,82,21,6,27,6,1,2,1,0,6,2,4,3,2,0,107,100,1,1,5,698,8,5,0
2025-03-07,2025,"Round 0","SCG","Will Day","Hawthorn","Sydney","Away",11188,1,13,12,21,80.8,0,0,2,0,73,17,9,26,4,3,0,6,0,6,9,1,4,6,0,129,148,2,7,7,454,2,5,1
2025-03-07,2025,"Round 0","SCG","James Sicily","Hawthorn","Sydney","Away",11188,1,10,8,14,70,5,2,4,0,91,15,5,20,8,1,0,0,0,3,0,4,2,2,2,81,92,0,0,7,431,4,8,0
2025-03-07,2025,"Round 0","SCG","Conor Nash","Hawthorn","Sydney","Away",11188,0,12,9,13,65,0,1,0,1,80,8,12,20,2,1,0,5,0,3,6,2,0,1,2,75,103,1,5,4,206,1,2,1
2025-03-07,2025,"Round 0","SCG","Jai Newcombe","Hawthorn","Sydney","Away",11188,1,10,8,15,78.9,0,1,2,0,89,9,10,19,1,1,0,7,0,1,9,6,1,1,3,76,90,5,4,8,218,5,1,0
2025-03-07,2025,"Round 0","SCG","Massimo D'Ambrosio","Hawthorn","Sydney","Away",11188,2,4,15,13,68.4,0,0,0,4,79,16,3,19,6,0,0,1,0,4,2,3,4,0,1,73,87,0,2,6,554,3,2,0
2025-03-07,2025,"Round 0","SCG","Jack Scrimshaw","Hawthorn","Sydney","Away",11188,0,5,12,17,94.4,2,0,1,0,77,12,6,18,8,0,0,3,0,1,0,0,1,1,0,85,112,0,0,6,113,1,9,0
2025-03-07,2025,"Round 0","SCG","Dylan Moore","Hawthorn","Sydney","Away",11188,0,7,10,13,72.2,1,2,0,0,84,10,8,18,3,2,1,1,0,3,1,1,0,2,0,74,90,0,1,6,206,2,1,0
2025-03-07,2025,"Round 0","SCG","Jack Ginnivan","Hawthorn","Sydney","Away",11188,1,6,10,9,56.2,0,0,2,0,75,9,7,16,1,0,1,3,0,3,2,4,0,1,1,55,69,0,2,4,235,3,2,2
2025-03-07,2025,"Round 0","SCG","Cameron Mackenzie","Hawthorn","Sydney","Away",11188,0,11,6,11,68.8,0,0,2,0,73,6,10,16,4,0,0,7,0,4,3,2,0,0,1,75,97,1,2,2,161,3,4,2
2025-03-07,2025,"Round 0","SCG","Harry Morrison","Hawthorn","Sydney","Away",11188,0,3,11,14,93.3,0,1,1,0,79,11,4,15,7,0,0,2,0,3,1,1,2,0,0,70,79,0,1,2,316,4,4,0
2025-03-07,2025,"Round 0","SCG","Lloyd Meek","Hawthorn","Sydney","Away",11188,0,10,4,10,71.4,1,1,0,0,83,7,7,14,4,2,0,5,30,3,6,1,0,1,0,110,126,3,3,3,297,3,2,1
2025-03-07,2025,"Round 0","SCG","Josh Battle","Hawthorn","Sydney","Away",11188,0,2,10,10,76.9,1,0,3,0,88,11,2,13,6,0,1,1,0,3,0,2,3,0,1,57,54,0,0,3,374,3,1,0
2025-03-07,2025,"Round 0","SCG","Finn Maginness","Hawthorn","Sydney","Away",11188,0,4,9,5,38.5,0,1,0,0,72,7,6,13,2,1,2,2,0,3,0,1,0,0,0,55,55,0,0,4,153,5,1,0
2025-03-07,2025,"Round 0","SCG","Jarman Impey","Hawthorn","Sydney","Away",11188,0,0,11,9,75,0,0,5,0,83,10,2,12,7,0,0,0,0,0,0,4,3,0,1,52,38,0,0,2,228,3,0,0
2025-03-07,2025,"Round 0","SCG","Joshua Weddle","Hawthorn","Sydney","Away",11188,0,5,7,8,66.7,1,0,3,0,86,8,4,12,3,0,0,1,1,2,1,2,1,1,0,47,58,0,1,3,122,1,4,0
2025-03-07,2025,"Round 0","SCG","James Worpel  ↗","Hawthorn","Sydney","Away",11188,2,6,5,5,45.5,0,1,2,1,44,7,4,11,2,0,1,3,0,4,5,2,1,1,0,49,52,3,2,6,268,1,1,1
2025-03-07,2025,"Round 0","SCG","Tom Barrass","Hawthorn","Sydney","Away",11188,1,2,7,7,77.8,1,0,8,0,94,6,3,9,6,0,0,1,0,1,0,3,0,1,2,41,51,0,0,4,64,1,5,0
2025-03-07,2025,"Round 0","SCG","Blake Hardwick","Hawthorn","Sydney","Away",11188,0,6,6,6,66.7,0,0,2,0,91,6,3,9,3,0,0,4,0,1,0,1,1,2,1,48,64,0,0,1,150,3,1,3
2025-03-07,2025,"Round 0","SCG","Mabior Chol","Hawthorn","Sydney","Away",11188,0,7,3,6,66.7,1,1,2,0,90,4,5,9,3,1,0,2,2,0,0,1,0,0,1,44,66,0,0,3,50,0,1,1
2025-03-07,2025,"Round 0","SCG","Connor MacDonald","Hawthorn","Sydney","Away",11188,0,1,7,7,87.5,0,1,0,0,70,5,3,8,2,1,0,2,0,3,0,1,1,0,1,38,54,0,0,2,220,2,1,0
2025-03-07,2025,"Round 0","SCG","Nick Watson","Hawthorn","Sydney","Away",11188,0,2,3,3,75,0,0,0,1,74,1,3,4,1,0,0,2,0,1,0,4,0,0,3,11,15,0,0,2,81,4,0,0
2025-03-07,2025,"Round 0","SCG","Sam Frost  ↙","Hawthorn","Sydney","Away",11188,0,3,0,2,66.7,0,0,4,0,44,2,1,3,0,0,0,0,0,0,0,1,1,1,1,6,15,0,0,0,63,1,2,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Joshua Kelly","GWS","Collingwood","Home",11190,0,13,24,27,75,0,0,1,0,82,11,25,36,7,0,0,5,0,2,5,6,2,0,2,118,132,2,3,8,279,5,6,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Finn Callaghan","GWS","Collingwood","Home",11190,1,9,25,28,84.8,0,1,0,2,84,13,20,33,4,2,2,2,0,6,7,4,3,0,1,110,144,2,5,12,730,1,1,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Lachie Whitfield","GWS","Collingwood","Home",11190,0,4,17,22,84.6,0,0,1,2,75,19,7,26,8,0,0,1,0,1,1,2,6,0,0,99,111,0,1,4,477,3,4,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Lachlan Ash","GWS","Collingwood","Home",11190,0,3,16,21,84,0,0,2,0,85,19,6,25,9,0,0,7,0,1,1,2,5,1,0,125,122,0,1,8,511,3,2,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Callan Ward","GWS","Collingwood","Home",11190,2,2,20,19,82.6,0,0,1,0,91,13,10,23,6,1,0,1,0,4,1,2,2,1,0,88,99,0,1,5,358,2,2,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Harrison Himmelberg","GWS","Collingwood","Home",11190,0,2,14,20,95.2,0,0,6,2,93,14,7,21,8,0,0,1,0,0,0,2,8,0,1,81,95,0,0,3,430,1,4,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Brent Daniels","GWS","Collingwood","Home",11190,0,8,11,13,61.9,0,0,2,1,81,12,9,21,4,1,1,4,0,9,4,3,1,2,1,88,101,1,3,6,481,5,3,1
2025-03-09,2025,"Round 0","ENGIE Stadium","Toby Greene","GWS","Collingwood","Home",11190,0,7,11,12,66.7,0,2,0,0,86,11,7,18,5,1,2,2,0,5,3,1,1,4,0,82,75,1,2,11,303,2,2,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Sam Taylor","GWS","Collingwood","Home",11190,0,7,10,16,94.1,4,0,5,0,100,16,1,17,13,1,0,5,0,2,0,1,5,3,0,118,139,0,0,2,313,3,12,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Jacob Wehr  ↙","GWS","Collingwood","Home",11190,0,9,7,10,62.5,0,0,2,0,61,9,7,16,0,0,0,1,0,4,3,3,1,1,0,46,74,0,3,1,329,5,6,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Connor Idun","GWS","Collingwood","Home",11190,0,4,11,13,86.7,0,0,3,1,89,10,5,15,6,0,0,4,0,1,0,1,4,0,0,74,79,0,0,3,169,1,5,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Darcy Jones","GWS","Collingwood","Home",11190,0,7,8,9,60,0,0,1,3,79,9,6,15,2,2,1,1,0,3,1,0,1,0,0,62,73,0,1,7,365,3,3,1
2025-03-09,2025,"Round 0","ENGIE Stadium","Toby Bedford","GWS","Collingwood","Home",11190,0,5,9,11,78.6,0,1,1,0,85,7,7,14,2,0,1,6,0,6,2,3,0,2,2,62,67,1,1,9,266,1,1,1
2025-03-09,2025,"Round 0","ENGIE Stadium","Xavier O'Halloran","GWS","Collingwood","Home",11190,1,4,10,7,53.8,0,0,0,0,86,8,5,13,2,2,0,4,0,2,1,3,0,2,1,67,59,0,1,3,278,6,1,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Stephen Coniglio","GWS","Collingwood","Home",11190,1,4,6,9,81.8,1,0,0,0,79,6,5,11,3,0,0,1,0,0,2,1,1,0,0,41,52,0,2,2,137,1,0,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Conor Stone","GWS","Collingwood","Home",11190,0,4,7,8,72.7,0,0,4,0,77,8,3,11,4,0,0,2,0,1,0,1,6,0,0,50,64,0,0,4,295,2,6,0
2025-03-09,2025,"Round 0","ENGIE Stadium","James Leake","GWS","Collingwood","Home",11190,0,7,5,8,72.7,0,2,1,0,54,4,7,11,2,1,1,1,0,1,3,1,0,2,1,42,64,0,3,5,142,0,1,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Max Gruzewski","GWS","Collingwood","Home",11190,1,4,5,7,77.8,1,2,1,0,68,4,5,9,3,2,0,2,6,1,0,1,0,0,0,57,61,0,0,4,150,1,0,1
2025-03-09,2025,"Round 0","ENGIE Stadium","Lachlan Keeffe","GWS","Collingwood","Home",11190,0,4,3,5,62.5,0,0,1,0,74,6,2,8,0,0,0,5,12,2,2,3,1,1,1,52,47,1,1,1,144,4,2,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Jack Buckley","GWS","Collingwood","Home",11190,1,3,5,7,87.5,0,0,6,0,90,7,1,8,2,0,0,1,0,1,0,1,1,1,0,34,57,0,0,2,206,1,3,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Callum Brown","GWS","Collingwood","Home",11190,0,4,2,4,57.1,0,0,3,0,75,4,3,7,1,2,1,1,0,1,0,4,0,1,1,36,49,0,0,5,114,2,0,1
2025-03-09,2025,"Round 0","ENGIE Stadium","Aaron Cadman","GWS","Collingwood","Home",11190,0,4,2,2,40,0,0,2,0,93,3,2,5,1,0,2,2,0,0,0,4,0,3,3,20,20,0,0,2,69,4,0,1
2025-03-09,2025,"Round 0","ENGIE Stadium","Kieren Briggs  ↗","GWS","Collingwood","Home",11190,0,0,1,1,100,0,0,0,0,12,1,0,1,1,0,0,0,5,1,0,1,0,0,1,8,5,0,0,1,46,0,0,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Josh Daicos","Collingwood","GWS","Away",11190,0,4,19,19,67.9,0,0,0,1,87,18,10,28,3,0,0,1,0,3,2,3,6,1,0,88,95,1,1,6,548,4,3,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Harry Perryman","Collingwood","GWS","Away",11190,0,7,17,16,59.3,0,0,0,1,83,14,13,27,3,0,1,3,0,3,1,3,1,0,0,90,93,0,1,9,389,5,4,1
2025-03-09,2025,"Round 0","ENGIE Stadium","Darcy Cameron","Collingwood","GWS","Away",11190,0,19,3,13,59.1,5,1,0,0,79,18,4,22,7,0,1,4,37,7,6,4,1,2,1,136,164,2,4,3,446,3,6,1
2025-03-09,2025,"Round 0","ENGIE Stadium","Nick Daicos","Collingwood","GWS","Away",11190,0,12,8,13,61.9,0,0,1,0,76,8,13,21,1,0,0,2,0,1,5,6,2,2,1,60,66,1,4,3,88,2,1,0
2025-03-09,2025,"Round 0","ENGIE Stadium","Jack Crisp","Collingwood","GWS","Away",11190,0,9,12,11,55,0,0,3,0,85,11,9,20,7,0,1,1,0,4,2,1,2,0,0,77,74,1,1,3,368,3,2,0
